,M
1154,-11
1155,-11
1156,-12
1157,-9
1158,-12
1159,-12
1160,-8
1161,-11
1162,-3
1163,0
1164,-4
1165,4
1166,-1
1167,-1
1168,-6
1169,-8
1170,2
1171,-7
1172,0
1173,-6
1174,1
1175,-4
1176,0
1177,1
1178,3
1179,3
1180,1
1181,0
1182,1
1183,-1
1184,-3
1185,-5
1186,1
1187,2
1188,2
1189,-1
1190,-1
1191,2
1192,4
1193,4
1194,6
1195,11
1196,10
1197,9
1198,9
1199,5
1200,-7
1201,-4
1202,1
1203,0
1204,0
1205,2
1206,2
1207,-1
1208,2
1209,1
1210,7
1211,-5
1212,4
1213,-4
1214,2
1215,2
1216,-5
1217,-1
1218,-2
1219,-7
1220,-2
1221,-3
1222,4
1223,5
1224,2
1225,0
1226,-8
1227,5
1228,-2
1229,4
1230,-7
1231,-14
1232,-12
1233,-12
1234,-10
1235,-9
1236,-7
1237,-11
1238,-7
1239,-3
1240,-10
1241,-2
1242,-10
1243,-2
1244,1
1245,0
1246,0
1247,0
1248,0
1249,6
1250,7
1251,11
1252,7
1253,0
1254,0
1255,0
1256,3
1257,7
1258,10
1259,7
1260,7
1261,0
1262,4
1263,2
1264,5
1265,0
1266,2
1267,7
1268,6
1269,3
1270,2
1271,7
1272,5
1273,5
1274,-4
1275,5
1276,4
1277,13
1278,6
1279,10
1280,11
1281,4
1282,7
1283,11
1284,7
1285,19
1286,19
1287,27
1288,30
1289,29
1290,32
1291,31
1292,35
1293,38
1294,41
1295,43
1296,40
1297,36
1298,35
1299,36
1300,40
1301,35
1302,33
1303,36
1304,39
1305,45
1306,40
1307,46
1308,45
1309,55
1310,50
1311,58
1312,48
1313,49
1314,47
1315,46
1316,43
1317,44
1318,44
1319,49
1320,47
1321,46
1322,48
1323,43
1324,48
1325,36
1326,41
1327,40
1328,30
1329,37
1330,24
1331,28
1332,24
1333,24
1334,24
1335,21
1336,22
1337,14
1338,11
1339,12
1340,16
1341,17
1342,12
1343,11
1344,9
1345,15
1346,16
1347,14
1348,10
1349,11
1350,6
1351,2
1352,-3
1353,-14
1354,-8
1355,-8
1356,0
1357,-5
1358,-2
1359,-5
1360,-4
1361,-3
1362,3
1363,-3
1364,4
1365,-2
1366,7
1367,-3
1368,4
1369,-7
1370,2
1371,-7
1372,0
1373,7
1374,5
1375,6
1376,5
1377,1
1378,-1
1379,-1
1380,-5
1381,0
1382,-4
1383,0
1384,-3
1385,6
1386,-2
1387,3
1388,2
1389,-2
1390,-6
1391,0
1392,-6
1393,0
1394,1
1395,-2
1396,1
1397,-1
1398,0
1399,0
1400,-3
1401,2
1402,-1
1403,-3
1404,-7
1405,8
1406,-3
1407,3
1408,-6
1409,-3
1410,-11
1411,-2
1412,-8
1413,-5
1414,-5
1415,-4
1416,2
1417,-3
1418,-2
1419,-4
1420,0
1421,-1
1422,-3
1423,1
1424,-5
1425,-1
1426,-4
1427,1
1428,-10
1429,-2
1430,-1
1431,-8
1432,0
1433,-2
1434,3
1435,4
1436,-5
1437,-9
1438,-7
1439,-4
1440,-3
1441,-3
1442,-11
1443,-10
1444,-9
1445,-6
1446,-8
1447,-1
1448,0
1449,-3
1450,-3
1451,-8
1452,-1
1453,-9
1454,-10
1455,-7
1456,-11
1457,-4
1458,-12
1459,-7
1460,-13
1461,-12
1462,-10
1463,-17
1464,-14
1465,-21
1466,-21
1467,-13
1468,-21
1469,-21
1470,-18
1471,-16
1472,-17
1473,-21
1474,-21
1475,-20
1476,-19
1477,-14
1478,-13
1479,-10
1480,-13
1481,-10
1482,-2
1483,-4
1484,-6
1485,-1
1486,1
1487,1
1488,-2
1489,-3
1490,-4
1491,-1
1492,2
1493,0
1494,1
1495,-3
1496,-7
1497,-5
1498,-6
1499,-4
1500,-4
1501,7
1502,9
1503,6
1504,1
1505,3
1506,7
1507,-3
1508,10
1509,-2
1510,2
1511,3
1512,1
1513,-1
1514,0
1515,1
1516,1
1517,1
1518,-1
1519,0
1520,-2
1521,10
1522,2
1523,10
1524,5
1525,10
1526,10
1527,17
1528,20
1529,18
1530,7
1531,6
1532,5
1533,0
1534,3
1535,-3
1536,4
1537,-3
1538,8
1539,-1
1540,6
1541,-2
1542,4
1543,3
1544,4
1545,-1
1546,-2
1547,8
1548,-4
1549,7
1550,-3
1551,2
1552,-1
1553,2
1554,0
1555,3
1556,-3
1557,2
1558,0
1559,3
1560,3
1561,8
1562,-1
1563,0
1564,8
1565,6
1566,6
1567,0
1568,2
1569,3
1570,4
1571,2
1572,1
1573,0
1574,0
1575,-3
1576,0
1577,-4
1578,1
1579,-1
1580,1
1581,-1
1582,1
1583,1
1584,1
1585,-7
1586,3
1587,4
1588,9
1589,-3
1590,-5
1591,-10
1592,-9
1593,-7
1594,0
1595,0
1596,3
1597,0
1598,1
1599,-2
1600,2
1601,-4
1602,1
1603,4
1604,0
1605,3
1606,-6
1607,-1
1608,-5
1609,4
1610,-2
1611,2
1612,-3
1613,5
1614,-2
1615,1
1616,0
1617,2
1618,-3
1619,-2
1620,-1
1621,-1
1622,1
1623,-5
1624,2
1625,2
1626,11
1627,10
1628,10
1629,5
1630,11
1631,12
1632,10
1633,11
1634,2
1635,0
1636,0
1637,-3
1638,3
1639,2
1640,6
1641,0
1642,-6
1643,-2
1644,-10
1645,-6
1646,-8
1647,-5
1648,-4
1649,3
1650,3
1651,2
1652,2
1653,-3
1654,7
1655,-6
1656,-2
1657,-12
1658,2
1659,-4
1660,-2
1661,1
1662,4
1663,-1
1664,3
1665,5
1666,0
1667,-3
1668,-12
1669,-5
1670,-4
1671,0
1672,2
1673,-1
1674,-3
1675,-7
1676,-4
1677,-7
1678,0
1679,-1
1680,0
1681,-2
1682,2
1683,0
1684,-5
1685,-5
1686,-8
1687,-5
1688,1
1689,-2
1690,4
1691,3
1692,7
1693,3
1694,-1
1695,-3
1696,-1
1697,3
1698,10
1699,8
1700,12
1701,6
1702,8
1703,6
1704,3
1705,0
1706,3
1707,-4
1708,3
1709,-2
1710,1
1711,-4
1712,-3
1713,0
1714,0
1715,-6
1716,3
1717,1
1718,2
1719,-5
1720,2
1721,-1
1722,-3
1723,3
1724,0
1725,0
1726,-5
1727,-7
1728,-1
1729,4
1730,6
1731,-1
1732,-8
1733,-5
1734,-3
1735,7
1736,4
1737,9
1738,0
1739,4
1740,-1
1741,-3
1742,-5
1743,-3
1744,-6
1745,-5
1746,-1
1747,0
1748,1
1749,3
1750,0
1751,0
1752,0
1753,4
1754,5
1755,6
1756,-1
1757,1
1758,1
1759,-4
1760,11
1761,-3
1762,6
1763,-1
1764,-6
1765,-10
1766,-3
1767,0
1768,0
1769,0
1770,-2
1771,6
1772,-5
1773,11
1774,1
1775,5
1776,-3
1777,3
1778,-5
1779,0
1780,0
1781,2
1782,-1
1783,4
1784,8
1785,4
1786,11
1787,4
1788,7
1789,-7
1790,-3
1791,-4
1792,5
1793,6
1794,-1
1795,1
1796,-1
1797,5
1798,2
1799,-3
1800,-6
1801,-5
1802,-6
1803,-4
1804,0
1805,-4
1806,-2
1807,2
1808,1
1809,-1
1810,-1
1811,-7
1812,-1
1813,-7
1814,-4
1815,0
1816,-1
1817,2
1818,0
1819,6
1820,-1
1821,2
1822,0
1823,2
1824,11
1825,15
1826,25
1827,15
1828,0
1829,-13
1830,-14
1831,-19
1832,-15
1833,-19
1834,-5
1835,14
1836,11
1837,13
1838,1
1839,-4
1840,1
1841,3
1842,5
1843,-4
1844,9
1845,-1
1846,4
1847,1
1848,-5
1849,-9
1850,-10
1851,-15
1852,-8
1853,-8
1854,-1
1855,-9
1856,0
1857,-2
1858,7
1859,9
1860,12
1861,2
1862,5
1863,-1
1864,0
1865,1
1866,-6
1867,-6
1868,-7
1869,-2
1870,5
1871,5
1872,11
1873,4
1874,10
1875,5
1876,8
1877,4
1878,9
1879,2
1880,1
1881,-2
1882,3
1883,-4
1884,7
1885,-4
1886,3
1887,1
1888,8
1889,5
1890,2
1891,-11
1892,-3
1893,-10
1894,-10
1895,-6
1896,-4
1897,-2
1898,-4
1899,-3
1900,0
1901,1
1902,0
1903,-5
1904,1
1905,-5
1906,-5
1907,-9
1908,-5
1909,4
1910,0
1911,-4
1912,1
1913,-4
1914,-2
1915,-6
1916,-4
1917,-1
1918,-6
1919,-7
1920,-12
1921,-10
1922,-10
1923,-12
1924,-4
1925,-13
1926,-10
1927,-2
1928,2
1929,-4
1930,-5
1931,-11
1932,-13
1933,-2
1934,-1
1935,-3
1936,-2
1937,1
1938,2
1939,2
1940,2
1941,1
1942,-3
1943,0
1944,-2
1945,4
1946,0
1947,-2
1948,3
1949,0
1950,0
1951,3
1952,-6
1953,-5
1954,-9
1955,0
1956,-9
1957,-1
1958,-9
1959,4
1960,1
1961,0
1962,5
1963,1
1964,4
1965,-2
1966,-3
1967,1
1968,-3
1969,3
1970,-9
1971,1
1972,-1
1973,5
1974,15
1975,14
1976,8
1977,6
1978,-2
1979,4
1980,-5
1981,8
1982,-2
1983,6
1984,1
1985,1
1986,-4
1987,0
1988,1
1989,-1
1990,0
1991,0
1992,-5
1993,1
1994,2
1995,10
1996,10
1997,4
1998,-3
1999,-3
2000,1
2001,0
2002,3
2003,-1
2004,4
2005,-1
2006,3
2007,9
2008,1
2009,-3
2010,-2
2011,2
2012,8
2013,1
2014,1
2015,4
2016,7
2017,9
2018,12
2019,16
2020,18
2021,12
2022,1
2023,1
2024,-3
2025,8
2026,2
2027,8
2028,-3
2029,3
2030,2
2031,5
2032,1
2033,2
2034,-2
2035,1
2036,-3
2037,-3
2038,-5
2039,0
2040,0
2041,4
2042,3
2043,5
2044,-2
2045,7
2046,-1
2047,1
2048,-1
2049,4
2050,5
2051,1
2052,9
2053,6
2054,8
2055,6
2056,4
2057,8
2058,0
2059,1
2060,2
2061,-2
2062,1
2063,5
2064,9
2065,6
2066,0
2067,1
2068,-2
2069,4
2070,3
2071,0
2072,-1
2073,-6
2074,1
2075,1
2076,-1
2077,2
2078,3
2079,6
2080,-1
2081,1
2082,-3
2083,6
2084,-6
2085,3
2086,-4
2087,1
2088,-1
2089,6
2090,0
2091,-2
2092,-3
2093,-2
2094,-4
2095,-3
2096,-8
2097,1
2098,-6
2099,0
2100,3
2101,-3
2102,0
2103,-6
2104,-3
2105,8
2106,-1
2107,3
2108,-2
2109,2
2110,-6
2111,-4
2112,-2
2113,4
2114,0
2115,-5
2116,-11
2117,-15
2118,-12
2119,-8
2120,-7
2121,-6
2122,-1
2123,0
2124,2
2125,-4
2126,-1
2127,4
2128,-1
2129,-3
2130,-3
2131,-5
2132,1
2133,-2
2134,0
2135,-4
2136,-2
2137,-6
2138,-5
2139,-3
2140,-1
2141,-3
2142,0
2143,-9
2144,-1
2145,-2
2146,3
2147,4
2148,2
2149,-6
2150,4
2151,-5
2152,7
2153,0
2154,0
2155,-2
2156,2
2157,-3
2158,3
2159,-6
2160,1
2161,2
2162,-1
2163,3
2164,1
2165,-4
2166,-7
2167,-5
2168,0
2169,3
2170,2
2171,2
2172,-4
2173,-6
2174,-9
2175,-10
2176,-6
2177,-11
2178,-4
2179,-7
2180,-8
2181,-3
2182,-4
2183,4
2184,1
2185,-3
2186,3
2187,2
2188,0
2189,1
2190,-3
2191,6
2192,-1
2193,6
2194,-3
2195,-3
2196,3
2197,0
2198,6
2199,2
2200,12
2201,5
2202,9
2203,1
2204,4
2205,-6
2206,4
2207,-3
2208,9
2209,2
2210,4
2211,-3
2212,2
2213,-1
2214,2
2215,1
2216,-4
2217,-6
2218,-8
2219,-1
2220,5
2221,6
2222,7
2223,-1
2224,4
2225,-6
2226,2
2227,-1
2228,1
2229,-1
2230,-3
2231,-9
2232,0
2233,-10
2234,3
2235,2
2236,3
2237,5
2238,0
2239,1
2240,-2
2241,0
2242,1
2243,3
2244,3
2245,-2
2246,-5
2247,-5
2248,0
2249,-1
2250,-1
2251,0
2252,0
2253,-2
2254,2
2255,-4
2256,2
2257,2
2258,4
2259,13
2260,5
2261,10
2262,5
2263,2
2264,9
2265,12
2266,15
2267,11
2268,17
2269,13
2270,16
2271,10
2272,11
2273,9
2274,15
2275,6
2276,1
2277,0
2278,-6
2279,-3
2280,0
2281,0
2282,1
2283,2
2284,-2
2285,3
2286,-3
2287,-3
2288,0
2289,3
2290,4
2291,-1
2292,-3
2293,-6
2294,-10
2295,1
2296,-3
2297,8
2298,0
2299,1
2300,-1
2301,1
2302,-1
2303,1
2304,1
2305,-2
2306,3
2307,-6
2308,-4
2309,2
2310,7
2311,5
2312,9
2313,-1
2314,1
2315,-1
2316,1
2317,-2
2318,4
2319,-8
2320,-3
2321,0
2322,0
2323,6
2324,0
2325,4
2326,-2
2327,1
2328,2
2329,3
2330,3
2331,-3
2332,1
2333,-4
2334,3
2335,-4
2336,5
2337,0
2338,-1
2339,-1
2340,-9
2341,0
2342,-4
2343,1
2344,2
2345,-1
2346,-3
2347,1
2348,2
2349,2
2350,1
2351,6
2352,5
2353,7
2354,-4
2355,6
2356,-4
2357,3
2358,-2
2359,0
2360,6
2361,2
2362,4
2363,1
2364,0
2365,4
2366,0
2367,0
2368,-3
2369,-3
2370,-8
2371,-11
2372,-11
2373,-12
2374,-7
2375,-10
2376,0
2377,1
2378,0
2379,1
2380,-1
2381,-4
2382,-1
2383,-1
2384,-1
2385,-1
2386,-2
2387,-3
2388,0
2389,-3
2390,4
2391,-1
2392,0
2393,-7
2394,-2
2395,-21
2396,-14
2397,-16
2398,-18
2399,-13
2400,-14
2401,-18
2402,-5
2403,-14
2404,-7
2405,-4
2406,-3
2407,5
2408,0
2409,7
2410,-5
2411,-1
2412,-5
2413,-4
2414,-10
2415,0
2416,-3
2417,2
2418,1
2419,-2
2420,-4
2421,2
2422,-2
2423,4
2424,0
2425,3
2426,-4
2427,4
2428,-5
2429,-5
2430,-1
2431,-3
2432,0
2433,0
2434,-2
2435,0
2436,-1
2437,1
2438,3
2439,6
2440,6
2441,-1
2442,0
2443,1
2444,3
2445,-2
2446,1
2447,-3
2448,-1
2449,5
2450,-6
2451,-3
2452,-13
2453,-6
2454,-3
2455,-7
2456,-7
2457,-13
2458,-12
2459,-8
2460,1
2461,-1
2462,1
2463,-2
2464,2
2465,-3
2466,3
2467,-6
2468,-3
2469,1
2470,3
2471,5
2472,4
2473,2
2474,-6
2475,0
2476,0
2477,8
2478,-3
2479,-1
2480,-1
2481,1
2482,-1
2483,1
2484,-2
2485,0
2486,-1
2487,3
2488,-4
2489,1
2490,-2
2491,1
2492,2
2493,4
2494,1
2495,-1
2496,-1
2497,1
2498,1
2499,5
2500,6
2501,9
2502,13
2503,12
2504,9
2505,6
2506,7
2507,9
2508,14
2509,7
2510,18
2511,15
2512,20
2513,10
2514,23
2515,2
2516,9
2517,7
2518,12
2519,9
2520,7
2521,9
2522,2
2523,6
2524,12
2525,6
2526,8
2527,2
2528,9
2529,2
2530,4
2531,-2
2532,1
2533,0
2534,1
2535,7
2536,6
2537,13
2538,2
2539,4
2540,-1
2541,-3
2542,-4
2543,2
2544,6
2545,0
2546,-4
2547,2
2548,-1
2549,6
2550,8
2551,3
2552,2
2553,-5
2554,-2
2555,-5
2556,2
2557,-4
2558,-5
2559,0
2560,-4
2561,4
2562,-4
2563,7
2564,8
2565,1
2566,-4
2567,-4
2568,3
2569,-7
2570,-6
2571,-11
2572,-7
2573,-9
2574,-8
2575,-9
2576,1
2577,4
2578,8
2579,3
2580,5
2581,-1
2582,-1
2583,-7
2584,3
2585,-2
2586,-2
2587,-6
2588,-1
2589,-8
2590,-1
2591,-1
2592,8
2593,4
2594,6
2595,-1
2596,0
2597,-1
2598,3
2599,0
2600,-7
2601,-5
2602,-8
2603,-8
2604,-17
2605,-9
2606,-11
2607,-10
2608,-7
2609,-8
2610,-4
2611,1
2612,0
2613,0
2614,0
2615,-7
2616,-7
2617,-1
2618,-2
2619,2
2620,-5
2621,-6
2622,-16
2623,-2
2624,-16
2625,-7
2626,-14
2627,-11
2628,-4
2629,-7
2630,-2
2631,-5
2632,-8
2633,-7
2634,1
2635,3
2636,10
2637,9
2638,9
2639,5
2640,1
2641,-1
2642,7
2643,-4
2644,9
2645,0
2646,-1
2647,3
2648,-1
2649,3
2650,-2
2651,-1
2652,1
2653,2
2654,-4
2655,2
2656,-3
2657,0
2658,1
2659,-1
2660,0
2661,2
2662,-5
2663,-2
2664,-2
2665,5
2666,10
2667,9
2668,2
2669,3
2670,-3
2671,-5
2672,-5
2673,4
2674,-3
2675,-4
2676,-3
2677,-9
2678,-2
2679,-5
2680,-11
2681,-6
2682,0
2683,-1
2684,1
2685,1
2686,8
2687,0
2688,6
2689,-2
2690,5
2691,-4
2692,5
2693,-2
2694,-4
2695,0
2696,-9
2697,2
2698,3
2699,9
2700,14
2701,23
2702,17
2703,16
2704,9
2705,9
2706,5
2707,14
2708,10
2709,8
2710,12
2711,14
2712,14
2713,6
2714,0
2715,2
2716,-1
2717,2
2718,1
2719,2
2720,-4
2721,1
2722,2
2723,-1
2724,-10
2725,-6
2726,-5
2727,0
2728,-6
2729,-3
2730,-12
2731,-2
2732,5
2733,6
2734,7
2735,4
2736,8
2737,0
2738,3
2739,-10
2740,-9
2741,-2
2742,3
2743,-2
2744,1
2745,-4
2746,4
2747,7
2748,1
2749,5
2750,1
2751,0
2752,0
