,M
816,-285
817,-139
818,-79
819,-94
820,-87
821,44
822,-77
823,-167
824,-255
825,-636
826,-659
827,-469
828,-359
829,-161
830,-43
831,-41
832,-23
833,98
834,126
835,-65
836,-108
837,-378
838,-534
839,-533
840,-677
841,-610
842,-563
843,-381
844,-71
845,-23
846,-125
847,-304
848,-379
849,-198
850,-215
851,-268
852,-382
853,-463
854,-380
855,-411
856,-460
857,-627
858,-677
859,-422
860,-409
861,-284
862,-14
863,49
864,115
865,148
866,179
867,274
868,278
869,271
870,217
871,32
872,-77
873,65
874,378
875,659
876,877
877,946
878,948
879,1022
880,953
881,909
882,858
883,708
884,555
885,430
886,610
887,751
888,953
889,1166
890,1185
891,1137
892,1029
893,997
894,1079
895,1040
896,1053
897,1123
898,1209
899,1263
900,1024
901,721
902,536
903,636
904,889
905,998
906,983
907,819
908,1011
909,1469
910,1731
911,1898
912,1757
913,1589
914,1587
915,1466
916,1638
917,1623
918,1324
919,1193
920,901
921,582
922,433
923,437
924,469
925,498
926,596
927,560
928,675
929,859
930,1069
931,1263
932,1216
933,1353
934,1373
935,1272
936,1289
937,1018
938,892
939,958
940,940
941,965
942,902
943,806
944,804
945,691
946,503
947,101
948,-343
949,-638
950,-865
951,-897
952,-661
953,-447
954,-400
955,-326
956,-145
957,19
958,373
959,674
960,612
961,621
962,562
963,534
964,412
965,51
966,-143
967,-223
968,-40
969,394
970,816
971,1157
972,1134
973,1040
974,902
975,575
976,365
977,187
978,33
979,-49
980,10
981,175
982,76
983,141
984,239
985,298
986,330
987,334
988,453
989,626
990,703
991,626
992,522
993,551
994,669
995,651
996,483
997,295
998,296
999,380
1000,218
1001,-2
1002,-223
1003,-282
1004,-70
1005,104
1006,221
1007,298
1008,248
1009,307
1010,255
1011,258
1012,129
1013,-102
1014,-18
1015,-138
1016,-184
1017,-23
1018,-14
1019,33
1020,40
1021,-58
1022,-206
1023,-437
1024,-711
1025,-969
1026,-1068
1027,-1079
1028,-831
1029,-607
1030,-670
1031,-720
1032,-712
1033,-760
1034,-834
1035,-1059
1036,-1489
1037,-2043
1038,-2446
1039,-2638
1040,-2643
1041,-2564
1042,-2341
1043,-2018
1044,-1746
1045,-1399
1046,-1165
1047,-995
1048,-878
1049,-1103
1050,-1611
1051,-2237
1052,-2621
1053,-2820
1054,-3026
1055,-3031
1056,-2770
1057,-2434
1058,-2031
1059,-1712
1060,-1576
1061,-1361
1062,-1395
1063,-1511
1064,-1585
1065,-1837
1066,-1959
1067,-2068
1068,-2063
1069,-1876
1070,-1724
1071,-1627
1072,-1558
1073,-1548
1074,-1372
1075,-1071
1076,-974
1077,-1116
1078,-1154
1079,-636
1080,58
1081,650
1082,1152
1083,1561
1084,1983
1085,2402
1086,2617
1087,2648
1088,2901
1089,3293
1090,3408
1091,3301
1092,3002
1093,2743
1094,2508
1095,2149
1096,1778
1097,1283
1098,914
1099,703
1100,629
1101,673
1102,609
1103,573
1104,465
1105,188
1106,-242
1107,-899
1108,-1446
1109,-1817
1110,-2087
1111,-2215
1112,-2374
1113,-2244
1114,-1992
1115,-1848
1116,-1596
1117,-1780
1118,-1897
1119,-1958
1120,-2340
1121,-2750
1122,-3292
1123,-3752
1124,-3998
1125,-4076
1126,-3800
1127,-3298
1128,-2821
1129,-2358
1130,-1854
1131,-1532
1132,-1338
1133,-1032
1134,-786
1135,-671
1136,-491
1137,-131
1138,381
1139,1085
1140,1688
1141,2146
1142,2415
1143,2757
1144,3185
1145,3412
1146,3614
1147,3590
1148,3559
1149,3521
1150,3460
1151,3510
1152,3560
1153,3811
1154,4565
1155,5488
1156,6439
1157,7396
1158,8250
1159,8934
1160,9036
1161,8675
1162,7983
1163,7285
1164,6545
1165,5628
1166,4877
1167,4176
1168,3318
1169,2371
1170,1368
1171,463
1172,-422
1173,-1246
1174,-1866
1175,-2289
1176,-2680
1177,-3149
1178,-3585
1179,-4041
1180,-4410
1181,-4540
1182,-4748
1183,-5212
1184,-5665
1185,-5996
1186,-6089
1187,-6362
1188,-6378
1189,-6125
1190,-5881
1191,-5579
1192,-5414
1193,-5315
1194,-5351
1195,-5478
1196,-5276
1197,-4875
1198,-4361
1199,-3853
1200,-3454
1201,-3016
1202,-2594
1203,-1970
1204,-1369
1205,-878
1206,-647
1207,-679
1208,-515
1209,-201
1210,-10
1211,240
1212,513
1213,645
1214,569
1215,82
1216,-628
1217,-1125
1218,-1449
1219,-1656
1220,-1781
1221,-1785
1222,-1800
1223,-1578
1224,-870
1225,-412
1226,123
1227,804
1228,1356
1229,1911
1230,2394
1231,2714
1232,2822
1233,2953
1234,3171
1235,3422
1236,3592
1237,3656
1238,3945
1239,4478
1240,5119
1241,5809
1242,6253
1243,6766
1244,7400
1245,7823
1246,8208
1247,8543
1248,8840
1249,9289
1250,9411
1251,9196
1252,8830
1253,8315
1254,7575
1255,6547
1256,5635
1257,4707
1258,4225
1259,3972
1260,3686
1261,3734
1262,3824
1263,3787
1264,3839
1265,3791
1266,3495
1267,3082
1268,2791
1269,2835
1270,2924
1271,2829
1272,2640
1273,2313
1274,1816
1275,1208
1276,741
1277,239
1278,-147
1279,-203
1280,-163
1281,-102
1282,-247
1283,-577
1284,-926
1285,-1300
1286,-1527
1287,-1739
1288,-1847
1289,-1848
1290,-1722
1291,-1276
1292,-893
1293,-587
1294,-372
1295,-374
1296,-625
1297,-1065
1298,-1556
1299,-1942
1300,-2189
1301,-2478
1302,-2666
1303,-2711
1304,-2801
1305,-2784
1306,-2872
1307,-3126
1308,-3095
1309,-3291
1310,-3817
1311,-4311
1312,-4641
1313,-4594
1314,-4424
1315,-4148
1316,-3812
1317,-3661
1318,-3539
1319,-3341
1320,-3133
1321,-2906
1322,-2775
1323,-2619
1324,-2382
1325,-2080
1326,-1924
1327,-2030
1328,-2231
1329,-2533
1330,-2731
1331,-2665
1332,-2591
1333,-2544
1334,-2429
1335,-2293
1336,-1928
1337,-1377
1338,-902
1339,-590
1340,-643
1341,-968
1342,-1370
1343,-1698
1344,-1833
1345,-2163
1346,-2607
1347,-2718
1348,-2537
1349,-2005
1350,-1304
1351,-622
1352,-170
1353,9
1354,-58
1355,-407
1356,-938
1357,-1607
1358,-1998
1359,-2239
1360,-2298
1361,-2043
1362,-1831
1363,-1594
1364,-1380
1365,-1115
1366,-721
1367,-332
1368,-211
1369,-231
1370,-397
1371,-673
1372,-911
1373,-1042
1374,-966
1375,-1065
1376,-1044
1377,-837
1378,-673
1379,-435
1380,-417
1381,-585
1382,-749
1383,-871
1384,-741
1385,-486
1386,-206
1387,185
1388,652
1389,1086
1390,1334
1391,1453
1392,1250
1393,772
1394,450
1395,-29
1396,-396
1397,-680
1398,-657
1399,-337
1400,20
1401,381
1402,694
1403,1029
1404,1311
1405,1488
1406,1627
1407,1446
1408,1228
1409,1232
1410,1050
1411,759
1412,365
1413,-191
1414,-714
1415,-1192
1416,-1318
1417,-1138
1418,-889
1419,-514
1420,-271
1421,-28
1422,293
1423,546
1424,526
1425,138
1426,-265
1427,-445
1428,-507
1429,-536
1430,-588
1431,-703
1432,-781
1433,-638
1434,-223
1435,99
1436,434
1437,640
1438,749
1439,1090
1440,1424
1441,1494
1442,1563
1443,1712
1444,1443
1445,1011
1446,742
1447,393
1448,384
1449,577
1450,614
1451,728
1452,750
1453,634
1454,486
1455,391
1456,402
1457,373
1458,398
1459,617
1460,816
1461,1116
1462,1424
1463,1743
1464,1889
1465,1658
1466,1434
1467,1072
1468,505
1469,146
1470,-96
1471,-398
1472,-634
1473,-833
1474,-931
1475,-852
1476,-798
1477,-714
1478,-428
1479,-224
1480,-204
1481,-198
1482,-121
1483,-63
1484,-138
1485,-509
1486,-960
1487,-1192
1488,-1155
1489,-1115
1490,-915
1491,-527
1492,-164
1493,269
1494,763
1495,1222
1496,1626
1497,1833
1498,1736
1499,1417
1500,993
1501,511
1502,145
1503,-134
1504,-282
1505,-172
1506,91
1507,330
1508,738
1509,1190
1510,1431
1511,1603
1512,1365
1513,1051
1514,651
1515,59
1516,-293
1517,-473
1518,-337
1519,-114
1520,310
1521,840
1522,1275
1523,1685
1524,1743
1525,1562
1526,1306
1527,665
1528,60
1529,-392
1530,-824
1531,-1005
1532,-1184
1533,-1366
1534,-1298
1535,-978
1536,-522
1537,-176
1538,112
1539,509
1540,700
1541,738
1542,654
1543,620
1544,671
1545,314
1546,-297
1547,-893
1548,-1132
1549,-1012
1550,-500
1551,169
1552,627
1553,920
1554,1060
1555,1111
1556,1404
1557,1680
1558,1840
1559,1982
1560,2095
1561,2179
1562,2217
1563,1970
1564,1497
1565,962
1566,493
1567,264
1568,357
1569,451
1570,441
1571,394
1572,404
1573,511
1574,499
1575,443
1576,526
1577,678
1578,935
1579,1269
1580,1633
1581,1747
1582,1782
1583,1976
1584,2181
1585,1920
1586,1317
1587,617
1588,-136
1589,-913
1590,-1408
1591,-1742
1592,-1937
1593,-1881
1594,-1589
1595,-1249
1596,-871
1597,-635
1598,-409
1599,-248
1600,-200
1601,-88
1602,-167
1603,-461
1604,-632
1605,-969
1606,-1222
1607,-1379
1608,-1386
1609,-969
1610,-578
1611,-39
1612,506
1613,830
1614,1202
1615,1455
1616,1855
1617,2076
1618,1885
1619,1591
1620,1276
1621,1015
1622,829
1623,767
1624,777
1625,543
1626,534
1627,640
1628,858
1629,1304
1630,1601
1631,1649
1632,1461
1633,1152
1634,860
1635,555
1636,219
1637,-137
1638,-478
1639,-841
1640,-926
1641,-803
1642,-862
1643,-868
1644,-851
1645,-910
1646,-608
1647,-327
1648,-449
1649,-406
1650,-499
1651,-971
1652,-1152
1653,-1204
1654,-1129
1655,-751
1656,-129
1657,591
1658,1145
1659,1572
1660,1733
1661,1712
1662,1515
1663,1219
1664,611
1665,-264
1666,-764
1667,-1142
1668,-1599
1669,-1704
1670,-1753
1671,-1461
1672,-848
1673,-211
1674,295
1675,484
1676,686
1677,633
1678,588
1679,672
1680,247
1681,-269
1682,-454
1683,-718
1684,-1045
1685,-1486
1686,-1991
1687,-2686
1688,-3078
1689,-2929
1690,-2443
1691,-1772
1692,-1196
1693,-615
1694,6
1695,625
1696,1274
1697,1816
1698,1779
1699,1457
1700,1011
1701,514
1702,110
1703,-354
1704,-1012
1705,-1631
1706,-1965
1707,-2132
1708,-1896
1709,-1192
1710,-536
1711,41
1712,158
1713,-178
1714,-334
1715,-162
1716,358
1717,565
1718,159
1719,-332
1720,-694
1721,-498
1722,-160
1723,4
1724,-434
1725,-1528
1726,-243
1727,4746
1728,7290
1729,2246
1730,-3901
1731,-3395
1732,431
1733,1722
1734,-268
1735,-3113
1736,-4230
1737,-3538
1738,-1480
1739,-76
1740,-1117
1741,-2762
1742,-2469
1743,-877
1744,459
1745,1162
1746,1382
1747,1051
1748,333
1749,-138
1750,-101
1751,-119
1752,-591
1753,-1342
1754,-1962
1755,-2018
1756,-1338
1757,-279
1758,595
1759,978
1760,1275
1761,1819
1762,2226
1763,2728
1764,3119
1765,2508
1766,1459
1767,463
1768,-268
1769,-510
1770,-659
1771,-950
1772,-1384
1773,-1663
1774,-1518
1775,-1229
1776,-790
1777,-446
1778,-194
1779,-85
1780,-44
1781,410
1782,1033
1783,1367
1784,1622
1785,1527
1786,1183
1787,916
1788,731
1789,317
1790,-425
1791,-1069
1792,-1751
1793,-2139
1794,-2338
1795,-2305
1796,-2419
1797,-2863
1798,-2787
1799,-2071
1800,-1202
1801,-382
1802,298
1803,742
1804,1300
1805,1806
1806,2038
1807,2091
1808,1961
1809,1561
1810,1025
1811,691
1812,474
1813,365
1814,410
1815,382
1816,463
1817,649
1818,1000
1819,1158
1820,1151
1821,1181
1822,939
1823,458
1824,-1
1825,-412
1826,-837
1827,-1011
1828,-1208
1829,-1631
1830,-1844
1831,-1891
1832,-2094
1833,-2006
1834,-1890
1835,-1612
1836,-785
1837,217
1838,925
1839,1269
1840,1416
1841,1257
1842,624
1843,-297
1844,-1130
1845,-1909
1846,-2186
1847,-1883
1848,-1295
1849,-604
1850,327
1851,1295
1852,1763
1853,2018
1854,2017
1855,1725
1856,1430
1857,566
1858,-530
1859,-1351
1860,-2028
1861,-2223
1862,-2086
1863,-1682
1864,-950
1865,-417
1866,164
1867,676
1868,1101
1869,1704
1870,1970
1871,1710
1872,1293
1873,955
1874,709
1875,623
1876,577
1877,352
1878,193
1879,198
1880,357
1881,352
1882,127
1883,-137
1884,-353
1885,-621
1886,-910
1887,-1415
1888,-1843
1889,-2168
1890,-2040
1891,-1408
1892,-993
1893,-485
1894,317
1895,1011
1896,1503
1897,1617
1898,1330
1899,715
1900,66
1901,-153
1902,-107
1903,-155
1904,-285
1905,-641
1906,-921
1907,-1173
1908,-1225
1909,-1104
1910,-1078
1911,-1025
1912,-887
1913,-228
1914,294
1915,754
1916,1190
1917,825
1918,451
1919,363
1920,106
1921,-239
1922,-675
1923,-749
1924,-772
1925,-949
1926,-921
1927,-681
1928,106
1929,869
1930,1190
1931,1450
1932,1359
1933,1229
1934,1133
1935,867
1936,740
1937,465
1938,344
1939,625
1940,828
1941,907
1942,846
1943,323
1944,-200
1945,-556
1946,-978
1947,-1221
1948,-1213
1949,-1261
1950,-1157
1951,-831
1952,-611
1953,-207
1954,208
1955,446
1956,522
1957,263
1958,63
1959,-319
1960,-754
1961,-1203
1962,-1773
1963,-1819
1964,-1303
1965,-410
1966,652
1967,1460
1968,1876
1969,1911
1970,1563
1971,1226
1972,885
1973,132
1974,-840
1975,-1602
1976,-2552
1977,-3123
1978,-2678
1979,-2176
1980,-1682
1981,-882
1982,-305
1983,269
1984,875
1985,1285
1986,1428
1987,1151
1988,728
1989,436
1990,448
1991,552
1992,555
1993,599
1994,593
1995,441
1996,192
1997,-113
1998,-618
1999,-816
2000,-635
2001,-263
2002,165
2003,290
2004,233
2005,164
2006,-44
2007,-450
2008,-938
2009,-1201
2010,-1425
2011,-1406
2012,-1254
2013,-858
2014,-197
2015,136
2016,578
2017,1022
2018,950
2019,872
2020,593
2021,-143
2022,-644
2023,-1148
2024,-1343
2025,-1412
2026,-1686
2027,-1579
2028,-1203
2029,-652
2030,-348
2031,-656
2032,-1108
2033,-1207
2034,-892
2035,-506
2036,-354
2037,-396
2038,73
2039,862
2040,1331
2041,1841
2042,2065
2043,1919
2044,1521
2045,805
2046,300
2047,-404
2048,-1083
2049,-1207
2050,-1033
2051,-652
2052,-456
2053,-192
2054,202
2055,465
2056,926
2057,1275
2058,1558
2059,1820
2060,1909
2061,2088
2062,2061
2063,1779
2064,1458
2065,756
2066,-209
2067,-1155
2068,-1487
2069,-932
2070,-444
2071,-55
2072,379
2073,1007
2074,1839
2075,2291
2076,2334
2077,2107
2078,1795
2079,1620
2080,1331
2081,835
2082,354
2083,-187
2084,-792
2085,-1158
2086,-1171
2087,-1139
2088,-1039
2089,-927
2090,-784
2091,-665
2092,-545
2093,-30
2094,315
2095,697
2096,1658
2097,2709
2098,3208
2099,2939
2100,2178
2101,1422
2102,610
2103,-179
2104,-517
2105,-513
2106,-321
2107,-237
2108,-95
2109,290
2110,591
2111,795
2112,810
2113,630
2114,503
2115,48
2116,-649
2117,-1256
2118,-1307
2119,-1301
2120,-1424
2121,-1199
2122,-781
2123,-538
2124,-170
2125,-51
2126,-437
2127,-798
2128,-865
2129,-681
2130,-677
2131,-907
2132,-1100
2133,-1110
2134,-997
2135,-788
2136,-410
2137,-281
2138,-64
2139,386
2140,797
2141,1005
2142,751
2143,327
2144,-142
2145,-866
2146,-1322
2147,-1383
2148,-1172
2149,-792
2150,-558
2151,-308
2152,-165
2153,-72
2154,200
2155,142
2156,-86
2157,17
2158,357
2159,565
2160,680
2161,831
2162,1135
2163,1717
2164,2060
2165,1780
2166,1151
2167,524
2168,164
2169,6
2170,-340
2171,-316
2172,-29
2173,135
2174,444
2175,406
2176,391
2177,480
2178,629
2179,752
2180,879
2181,804
2182,481
2183,445
2184,437
2185,136
2186,-244
2187,-514
2188,-507
2189,-651
2190,-1147
2191,-1334
2192,-826
2193,63
2194,652
2195,1106
2196,1431
2197,989
2198,364
2199,-106
2200,-362
2201,-331
2202,-571
2203,-956
2204,-1166
2205,-1197
2206,-1174
2207,-1188
2208,-1040
2209,-606
2210,-368
2211,-332
2212,-260
2213,268
2214,920
2215,974
2216,615
2217,362
2218,126
2219,-403
2220,-757
2221,-691
2222,-753
2223,-886
2224,-540
2225,75
2226,610
2227,856
2228,798
2229,816
2230,363
2231,-167
2232,-417
2233,-508
2234,-673
2235,-860
2236,-800
2237,-528
2238,-498
2239,-591
2240,-588
2241,-791
2242,-845
2243,-469
2244,-39
2245,385
2246,457
2247,584
2248,944
2249,943
2250,685
2251,-23
2252,-904
2253,-1558
2254,-2029
2255,-2451
2256,-3014
2257,-3007
2258,-2048
2259,-606
2260,890
2261,2127
2262,3045
2263,3636
2264,3772
2265,2861
2266,1200
2267,-443
2268,-1804
2269,-2929
2270,-4027
2271,-5308
2272,-6282
2273,-6235
2274,-5332
2275,-4519
2276,-3990
2277,-3904
2278,-3880
2279,-3549
2280,-3049
2281,-2574
2282,-2252
2283,-1490
2284,-400
2285,457
2286,1501
2287,2624
2288,3623
2289,4226
2290,4333
2291,4171
2292,3550
2293,2888
2294,2355
2295,2249
2296,2790
2297,3438
2298,3703
2299,3676
2300,3993
2301,4347
2302,4278
2303,4215
2304,4207
2305,3988
2306,3855
2307,3563
2308,3174
2309,3015
2310,3123
2311,3451
2312,3449
2313,3235
2314,3178
2315,3476
2316,3686
2317,3308
2318,2995
2319,2705
2320,2444
2321,2332
2322,1908
2323,1497
2324,1004
2325,527
2326,457
2327,439
2328,510
2329,434
2330,147
2331,397
2332,891
2333,1202
2334,1242
2335,1047
2336,606
2337,396
2338,154
2339,-1037
2340,-2318
2341,-2980
2342,-3677
2343,-4151
2344,-4138
2345,-3847
2346,-3557
2347,-3445
2348,-2985
2349,-2395
2350,-2046
2351,-2122
2352,-2353
2353,-2208
2354,-2002
2355,-1830
2356,-1561
2357,-1639
2358,-1889
2359,-2203
2360,-2588
2361,-2606
2362,-2733
2363,-2812
2364,-2719
2365,-2754
2366,-2654
2367,-2465
2368,-2259
2369,-1700
2370,-1247
2371,-815
2372,-481
2373,-1024
2374,-1686
2375,-1629
2376,-1858
2377,-2577
2378,-2925
2379,-2753
2380,-2408
2381,-1706
2382,-1367
2383,-1125
2384,-173
2385,707
2386,1301
2387,1908
2388,2480
2389,2561
2390,2118
2391,1492
2392,1192
2393,1112
2394,1305
2395,1924
2396,2301
2397,2194
2398,1895
2399,1696
2400,1677
2401,1874
2402,1902
2403,1756
2404,1466
2405,1016
2406,1152
2407,1239
2408,1197
2409,1232
2410,1251
2411,1495
2412,1690
2413,1936
2414,2268
2415,2585
2416,2611
2417,2242
2418,1905
2419,1855
2420,1551
2421,1115
2422,852
2423,932
2424,1031
2425,826
2426,409
2427,-209
2428,-843
2429,-1517
2430,-1726
2431,-1395
2432,-1098
2433,-840
2434,-485
2435,-5
2436,165
2437,179
2438,503
2439,812
2440,791
2441,575
2442,102
2443,170
2444,594
2445,303
2446,-660
2447,-1362
2448,-1613
2449,-1871
2450,-1806
2451,-1392
2452,-980
2453,-562
2454,-318
2455,124
2456,802
2457,1313
2458,1842
2459,1812
2460,1757
2461,1743
2462,953
2463,493
2464,476
2465,307
2466,360
2467,420
2468,345
2469,522
2470,613
2471,857
2472,1294
2473,1841
2474,2151
2475,2091
2476,1856
2477,1521
2478,1511
2479,1380
2480,1011
2481,835
2482,311
2483,-386
2484,-769
2485,-1132
2486,-1396
2487,-1910
2488,-2534
2489,-2896
2490,-3182
2491,-3200
2492,-2637
2493,-1890
2494,-1518
2495,-1550
2496,-1649
2497,-1871
2498,-2111
2499,-2274
2500,-2853
2501,-3312
2502,-3366
2503,-3187
2504,-2424
2505,-1417
2506,-953
2507,-1055
2508,-1057
2509,-841
2510,-952
2511,-1156
2512,-1308
2513,-1348
2514,-1065
2515,-515
2516,130
2517,405
2518,408
2519,583
2520,612
2521,14
2522,-576
2523,-689
2524,-593
2525,-324
2526,-74
2527,-105
2528,29
2529,164
2530,53
2531,-74
2532,-439
2533,-808
2534,-842
2535,-760
2536,-859
2537,-1038
2538,-316
2539,658
2540,746
2541,1498
2542,1968
2543,1495
2544,1403
2545,1283
2546,821
2547,362
2548,5
2549,-402
2550,-480
2551,-352
2552,-256
2553,-100
2554,-1
2555,-195
